Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
1,Nilaveli Beach,Nilaveli,Eastern,Beach,8.6874,81.1877,Paved,4,4.7
2,Uppuveli Beach,Uppuveli,Eastern,Beach,8.6070,81.2110,Paved,4,4.6
3,Pigeon Island National Park,Nilaveli,Eastern,Nature,8.7170,81.2130,Off-Road,4,4.7
4,Trincomalee Harbour Viewpoint,Trincomalee,Eastern,Viewpoint,8.5760,81.2320,Paved,1.5,4.5
5,Fort Frederick,Trincomalee,Eastern,History,8.5730,81.2330,Paved,2,4.6
6,Koneswaram Temple (Thirukoneswaram),Trincomalee,Eastern,Religious,8.5693,81.2439,Hilly,2,4.8
7,Swami Rock (Lover’s Leap),Trincomalee,Eastern,Viewpoint,8.5690,81.2445,Hilly,1.5,4.7
8,Marble Beach,Pulmoddai Road,Eastern,Beach,8.5150,81.2020,Paved,3.5,4.6
9,Dutch Bay Beach,Trincomalee,Eastern,Beach,8.5680,81.2210,Paved,3,4.4
10,Trincomalee War Cemetery,Trincomalee,Eastern,History,8.6010,81.2180,Paved,1,4.4
11,Pathirakali Amman Kovil,Trincomalee,Eastern,Religious,8.5710,81.2340,Paved,1.5,4.6
12,Trincomalee Hindu Cultural Hall Area,Trincomalee,Eastern,Culture,8.5715,81.2350,Paved,1,4.3
13,Hot Water Wells (Kanniya),Kanniya,Eastern,Nature,8.6120,81.1820,Paved,1.5,4.5
14,Lover’s Leap Viewpoint (Trinco),Trincomalee,Eastern,Viewpoint,8.5710,81.2440,Hilly,1,4.5
15,Seruwila Mangala Raja Maha Vihara,Seruwila,Eastern,Religious,8.3640,81.3130,Paved,2,4.6
16,Seruwila Allai Tank Birding,Seruwila,Eastern,Birding,8.3440,81.2930,Off-Road,2.5,4.4
17,Somawathiya Chaitya (Eastern access),Somawathiya,Eastern,Religious,8.1460,81.0970,Off-Road,3,4.6
18,Kuchchaveli Beach,Kuchchaveli,Eastern,Beach,8.7730,81.1630,Off-Road,4,4.5
19,Shanthi Beach (near Trinco),Trincomalee,Eastern,Beach,8.5990,81.2400,Paved,3,4.4
20,Velgam Vehera,Trincomalee District,Eastern,History,8.7310,81.1250,Off-Road,2.5,4.5
21,Girihandu Seya,Thiriyai,Eastern,Religious,8.7380,81.1420,Off-Road,2.5,4.6
22,Thiriyai Beach,Thiriyai,Eastern,Beach,8.7410,81.1570,Off-Road,3.5,4.4
23,Trincomalee Fishing Harbour Walk,Trincomalee,Eastern,Culture,8.5685,81.2250,Paved,1.5,4.2
24,Batticaloa Lagoon,Batticaloa,Eastern,Nature,7.7170,81.7000,Off-Road,3,4.5
25,Batticaloa Dutch Fort,Batticaloa,Eastern,History,7.7185,81.6942,Paved,2,4.4
26,Kallady Bridge & “Singing Fish” Area,Batticaloa,Eastern,History,7.7175,81.7210,Paved,1.5,4.2
