Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
1,Nine Arches Bridge,Ella,Uva,Adventure,6.8768,81.0608,Hilly,1.5,4.8
2,Ella Rock,Ella,Uva,Hiking,6.8561,81.0450,Hilly,5,4.7
3,Little Adam's Peak,Ella,Uva,Hiking,6.8620,81.0480,Hilly,3,4.8
4,Ravana Falls,Ella,Uva,Nature,6.8180,81.0610,Paved,1.5,4.7
5,Ravana Cave,Ella,Uva,History,6.8160,81.0560,Hilly,1.5,4.5
6,Demodara Railway Loop & Station,Demodara,Uva,History,6.8810,81.0540,Paved,1.5,4.7
7,Kithal Ella Falls,Kithal Ella,Uva,Nature,6.8540,81.0630,Hilly,1.5,4.5
8,Dowa Rajamaha Viharaya,Bandarawela,Uva,Religious,6.8500,80.9900,Paved,1.5,4.6
9,Dunhinda Falls,Badulla,Uva,Hiking,7.0450,81.0630,Hilly,2.5,4.7
10,Bogoda Wooden Bridge,Kataragama? (Bogoda),Uva,History,7.0230,81.0320,Off-Road,1.5,4.6
11,Namunukula Mountain Range,Passara,Uva,Hiking,7.0400,81.0980,Hilly,5,4.7
12,Fox Hill Viewpoint,Diyatalawa,Uva,Viewpoint,6.7970,80.9590,Paved,1.5,4.5
13,Idalgashinna Station & Ridge Walk,Idalgashinna,Uva,Hiking,6.7730,80.9200,Hilly,2.5,4.6
14,Haputale Town View,Haputale,Uva,Viewpoint,6.7680,80.9630,Paved,1,4.5
15,Lipton's Seat,Dambatenne,Uva,Viewpoint,6.7670,80.8700,Hilly,2,4.8
16,Dambatenne Tea Factory,Dambatenne,Uva,Museum,6.7720,80.8920,Paved,1.5,4.6
17,Thangamale Sanctuary,Haputale,Uva,Nature,6.7740,80.9000,Off-Road,2,4.5
18,Diyaluma Falls,Koslanda,Uva,Hiking,6.7660,81.0300,Hilly,3,4.8
19,Upper Diyaluma Pools,Koslanda,Uva,Hiking,6.7560,81.0320,Hilly,2.5,4.7
20,Pilkington Point (Poonagala),Poonagala,Uva,Viewpoint,6.7490,81.0140,Hilly,1.5,4.6
21,Kukulugala Peak,Bandarawela,Uva,Hiking,6.7900,80.9100,Hilly,3,4.5
22,Flying Ravana Mega Zipline,Ella,Uva,Adventure,6.8710,81.0610,Paved,1.5,4.7
23,St. Mark's Church,Badulla,Uva,History,6.9890,81.0600,Paved,1,4.4
24,Welekade Market (Old Dutch Market),Badulla,Uva,History,6.9895,81.0590,Paved,1,4.4
25,Bogoda Forest Monastery,Bogoda,Uva,Religious,7.0250,81.0300,Off-Road,1.5,4.5
26,Narangala Mountain,Hali Ela,Uva,Hiking,7.0380,81.0600,Hilly,4,4.7
27,Peessa Ella Falls,Passara,Uva,Nature,7.0340,81.1200,Hilly,2,4.5
28,Gerandi Ella,Welimada,Uva,Nature,7.0300,81.0200,Hilly,2,4.4
29,Sthripura Cave,Welimada,Uva,History,7.0600,80.9100,Off-Road,1.5,4.4
30,Sorabora Wewa,Mahiyanganaya,Uva,Nature,7.2060,81.0530,Paved,2,4.6
31,Mahiyangana Raja Maha Vihara,Mahiyanganaya,Uva,Religious,7.3540,80.9990,Paved,1.5,4.7
32,Mapakada Lake,Mahiyanganaya,Uva,Nature,7.3400,81.0300,Paved,2,4.5
33,Dambana Vedda Cultural Village,Dambana,Uva,Culture,7.4100,81.1000,Off-Road,2.5,4.6
34,Loggal Oya Reservoir,Rikillagaskada/Uva side,Uva,Nature,7.2800,80.9800,Paved,2,4.5
35,Randenigala Dam Viewpoint,Mahiyanganaya,Uva,Architecture,7.2860,80.9720,Paved,1.5,4.5
36,Halpewatte Tea Factory (Uva),Halpe,Uva,Museum,6.8700,81.0810,Paved,1.5,4.6
37,Bambarakanda Falls (Uva side),Kalupahana,Uva,Nature,6.7720,80.8700,Hilly,2,4.8
38,Ohiya Railway Station,Ohiya,Uva,History,6.8100,80.9530,Paved,1,4.5
39,Devil’s Staircase Trail,Ohiya,Uva,Hiking,6.8120,80.9460,Hilly,4,4.7
40,Boralanda Highland Dairy,Boralanda,Uva,Culture,6.8200,80.9120,Paved,1.5,4.4
41,Welimada Town View,Welimada,Uva,Viewpoint,6.9450,80.9410,Paved,1,4.3
42,Rawana Temple (New),Ella,Uva,Religious,6.8650,81.0600,Paved,1,4.4
43,Nil Diya Pokuna Trailhead,Ella,Uva,Adventure,6.8600,81.0550,Off-Road,2.5,4.5
44,Halpe Temple Viewpoint,Halpe,Uva,Viewpoint,6.8740,81.0740,Paved,1,4.4
45,Kehelgamu Oya View (Uva edge),Haputale,Uva,Viewpoint,6.7620,80.9000,Paved,1,4.3
46,Wellawaya Town & Gabaraya Statue,Wellawaya,Uva,History,6.5500,81.1050,Paved,1,4.2
47,Handapanagala Lake,Wellawaya,Uva,Nature,6.6200,81.0500,Paved,2,4.5
48,Ellawala Falls,Wellawaya,Uva,Nature,6.5100,81.0400,Off-Road,1.5,4.5
49,Buduruwagala Ancient Rock Carvings,Wellawaya,Uva,History,6.3860,81.0330,Off-Road,1.5,4.8
50,Maligawila Buddha Statue,Buttala,Uva,History,6.4020,81.1330,Paved,1.5,4.7
51,Dambegoda Bodhisattva Statue,Buttala,Uva,History,6.4000,81.1350,Paved,1.5,4.6
52,Yudaganawa Chaitya,Buttala,Uva,History,6.4030,81.0730,Paved,1.5,4.6
53,Biso Pokuna (Queen’s Bath),Buttala,Uva,History,6.4050,81.0750,Paved,1,4.5
54,Kataragama Sacred City,Kataragama,Uva,Religious,6.4200,81.3300,Paved,2,4.8
55,Kirivehera Stupa,Kataragama,Uva,Religious,6.4220,81.3320,Paved,1.5,4.7
56,Sella Kataragama Shrine,Sella Kataragama,Uva,Religious,6.4300,81.3300,Paved,1.5,4.6
57,Menik Ganga River Banks,Kataragama,Uva,Nature,6.4180,81.3350,Paved,1.5,4.5
58,Lunugamvehera National Park (Uva Sector),Lunugamvehera,Uva,Safari,6.5130,81.0750,Off-Road,6,4.6
59,Weheragala Reservoir,Tissamaharama/Uva edge,Uva,Nature,6.5900,81.1100,Paved,2,4.5
60,Kebiliththa Devalaya (Yala Forest),Buttala/Uva,Uva,Religious,6.4500,81.3500,Off-Road,4,4.6
61,Galge Yala Entrance (Block IV),Kataragama/Uva,Uva,Safari,6.4600,81.3200,Off-Road,6,4.6
62,Kumbukkan Oya River Bank,Siyambalanduwa/Uva,Uva,Nature,6.5800,81.2600,Off-Road,2.5,4.4
63,Govinda Hela (Westminster Abbey Rock),Siyambalanduwa,Uva,Hiking,6.8270,81.3450,Hilly,3,4.6
64,Lahugala–Kitulana National Park (Uva side),Lahugala/Uva,Uva,Nature,6.8430,81.4260,Off-Road,3,4.5
65,Monaragala Town Viewpoint,Monaragala,Uva,Viewpoint,6.8720,81.3480,Paved,1,4.2
66,Yan Oya Kataragama Museum,Kataragama,Uva,Museum,6.4200,81.3325,Paved,1,4.3
67,Etili Wewa Reservoir,Buttala,Uva,Nature,6.4700,81.1100,Paved,2,4.4
68,Kuda Oya Reservoir,Tanamalwila,Uva,Nature,6.4200,81.0300,Paved,2,4.4
69,Ethili Wewa Birding Point,Buttala,Uva,Birding,6.4720,81.1120,Off-Road,2,4.4
70,Mini World’s End (Madolsima),Madolsima,Uva,Viewpoint,7.1890,81.1470,Hilly,2.5,4.7
71,Ravana Lake View,Ella,Uva,Relax,6.8450,81.0650,Paved,1,4.3
72,Halpe Tea Experience Center,Halpe,Uva,Culture,6.8725,81.0800,Paved,1.5,4.5
73,Rawana Spice Garden,Ella,Uva,Culture,6.8540,81.0600,Paved,1,4.3
74,Demodara Tunnel View,Ella/Uduwara,Uva,Viewpoint,6.8830,81.0520,Hilly,1,4.5
